input_image,gt_image,TP,TN,FP,FN,recall,specificity,FPR,FNR,PWC,precision,f_measure
dataset\turnpike_0_5fps\input\in000989.jpg,dataset\turnpike_0_5fps\groundtruth\gt000989.png,570,63413,4493,3204,0.151033386327504,0.9338350072158572,0.06616499278414278,0.848966613672496,10.738002232142858,0.1125814734347225,0.12900305533552112
dataset\turnpike_0_5fps\input\in000990.jpg,dataset\turnpike_0_5fps\groundtruth\gt000990.png,540,62037,4523,4580,0.10546875,0.9320462740384615,0.06795372596153847,0.89453125,12.699497767857142,0.10665613272763184,0.10605911813807326
dataset\turnpike_0_5fps\input\in000991.jpg,dataset\turnpike_0_5fps\groundtruth\gt000991.png,1451,58103,3612,8514,0.14560963371801305,0.9414728996192173,0.05852710038078263,0.854390366281987,16.916852678571427,0.2865889788662848,0.19310620175672077
dataset\turnpike_0_5fps\input\in000992.jpg,dataset\turnpike_0_5fps\groundtruth\gt000992.png,507,61321,4556,5296,0.08736860244701017,0.9308408093871913,0.06915919061280872,0.9126313975529898,13.744419642857142,0.10013825794983211,0.09331860850358917
dataset\turnpike_0_5fps\input\in000993.jpg,dataset\turnpike_0_5fps\groundtruth\gt000993.png,1850,61645,3213,4972,0.27118147170917617,0.9504610071232539,0.049538992876746124,0.7288185282908238,11.418805803571429,0.36539601027059054,0.3113167858645351
dataset\turnpike_0_5fps\input\in000994.jpg,dataset\turnpike_0_5fps\groundtruth\gt000994.png,34,53233,5029,13384,0.0025339096735728125,0.9136830180906937,0.08631698190930624,0.9974660903264272,25.687779017857142,0.006715386134702746,0.003679454574968887
dataset\turnpike_0_5fps\input\in000995.jpg,dataset\turnpike_0_5fps\groundtruth\gt000995.png,416,59739,4647,6878,0.057033177954483136,0.9278259248905042,0.07217407510949585,0.9429668220455169,16.078404017857142,0.08216472447165712,0.06733025815327344
dataset\turnpike_0_5fps\input\in000996.jpg,dataset\turnpike_0_5fps\groundtruth\gt000996.png,2770,56592,2293,10025,0.2164908167252833,0.9610596926212108,0.03894030737878917,0.7835091832747166,17.184709821428573,0.5471064586213708,0.3102251091947587
dataset\turnpike_0_5fps\input\in000997.jpg,dataset\turnpike_0_5fps\groundtruth\gt000997.png,378,56911,4685,9706,0.037485124950416504,0.9239398662250795,0.07606013377492045,0.9625148750495836,20.076729910714285,0.07465929290934228,0.049910873440285206
dataset\turnpike_0_5fps\input\in000998.jpg,dataset\turnpike_0_5fps\groundtruth\gt000998.png,1278,62173,3785,4444,0.22334847955260398,0.9426149974226022,0.05738500257739774,0.776651520447396,11.480189732142858,0.25241951412206204,0.23699582753824758
dataset\turnpike_0_5fps\input\in000999.jpg,dataset\turnpike_0_5fps\groundtruth\gt000999.png,517,60819,4546,5798,0.08186856690419636,0.9304520767995105,0.06954792320048955,0.9181314330958037,14.430803571428571,0.10211337151886234,0.09087713130602917
dataset\turnpike_0_5fps\input\in001000.jpg,dataset\turnpike_0_5fps\groundtruth\gt001000.png,1416,60121,3647,6496,0.1789686552072801,0.9428083051060093,0.057191694893990716,0.8210313447927199,14.150390625,0.27967608137467903,0.2182658959537572
dataset\turnpike_0_5fps\input\in001001.jpg,dataset\turnpike_0_5fps\groundtruth\gt001001.png,1554,61379,3509,5238,0.22879858657243815,0.9459222044137591,0.05407779558624091,0.7712014134275619,12.202845982142858,0.3069326486272961,0.2621678616617461
dataset\turnpike_0_5fps\input\in001002.jpg,dataset\turnpike_0_5fps\groundtruth\gt001002.png,777,60785,4286,5832,0.11756695415342715,0.9341334849625793,0.06586651503742066,0.8824330458465729,14.115513392857142,0.15346632431364804,0.13313913639479094
dataset\turnpike_0_5fps\input\in001003.jpg,dataset\turnpike_0_5fps\groundtruth\gt001003.png,153,59509,4910,7108,0.02107147775788459,0.9237802511681337,0.07621974883186637,0.9789285222421155,16.766183035714285,0.030219237606162356,0.02482960077896787
dataset\turnpike_0_5fps\input\in001004.jpg,dataset\turnpike_0_5fps\groundtruth\gt001004.png,1346,52960,3717,13657,0.08971539025528227,0.934417841452441,0.06558215854755897,0.9102846097447177,24.23828125,0.2658502863914675,0.1341572809727898
dataset\turnpike_0_5fps\input\in001005.jpg,dataset\turnpike_0_5fps\groundtruth\gt001005.png,110,57845,4953,8772,0.012384598063499211,0.9211280614032294,0.0788719385967706,0.9876154019365008,19.147600446428573,0.021726249259332413,0.01577626389386877
dataset\turnpike_0_5fps\input\in001006.jpg,dataset\turnpike_0_5fps\groundtruth\gt001006.png,1591,59397,3472,7220,0.18056974236749518,0.9447740539852709,0.05522594601472904,0.8194302576325049,14.916294642857142,0.3142405688327079,0.22934986305319305
dataset\turnpike_0_5fps\input\in001007.jpg,dataset\turnpike_0_5fps\groundtruth\gt001007.png,1407,59036,3656,7581,0.15654205607476634,0.9416831493651503,0.05831685063484974,0.8434579439252337,15.676618303571429,0.27789847916255184,0.20027044338481245
dataset\turnpike_0_5fps\input\in001008.jpg,dataset\turnpike_0_5fps\groundtruth\gt001008.png,651,62044,4412,4573,0.12461715160796324,0.9336102082580956,0.06638979174190442,0.8753828483920367,12.534877232142858,0.12857989334386727,0.12656751239428407
dataset\turnpike_0_5fps\input\in001009.jpg,dataset\turnpike_0_5fps\groundtruth\gt001009.png,251,60495,4812,6122,0.03938490506825671,0.926317240112086,0.073682759887914,0.9606150949317432,15.25390625,0.0495753505826585,0.04389646729625743
dataset\turnpike_0_5fps\input\in001010.jpg,dataset\turnpike_0_5fps\groundtruth\gt001010.png,1674,61308,3389,5309,0.23972504654160104,0.9476173547459696,0.05238264525403032,0.760274953458399,12.134486607142858,0.3306340114556587,0.27793458409430516
dataset\turnpike_0_5fps\input\in001011.jpg,dataset\turnpike_0_5fps\groundtruth\gt001011.png,2479,53831,2584,12786,0.1623976416639371,0.954196578924045,0.045803421075954975,0.8376023583360629,21.442522321428573,0.48963065376259135,0.24390003935458482
dataset\turnpike_0_5fps\input\in001012.jpg,dataset\turnpike_0_5fps\groundtruth\gt001012.png,351,63424,4712,3193,0.09904063205417607,0.9308441939650112,0.06915580603498885,0.9009593679458239,11.028180803571429,0.06932648627296069,0.08156151969327291
dataset\turnpike_0_5fps\input\in001013.jpg,dataset\turnpike_0_5fps\groundtruth\gt001013.png,600,62991,4463,3626,0.14197823000473261,0.9338363922080233,0.06616360779197676,0.8580217699952674,11.284877232142858,0.11850681414181316,0.12918505759500487
dataset\turnpike_0_5fps\input\in001014.jpg,dataset\turnpike_0_5fps\groundtruth\gt001014.png,1418,63391,3645,3226,0.3053402239448751,0.9456262306820216,0.0543737693179784,0.6946597760551249,9.585658482142858,0.28007110408848507,0.29216029669310806
dataset\turnpike_0_5fps\input\in001015.jpg,dataset\turnpike_0_5fps\groundtruth\gt001015.png,1233,59535,3830,7082,0.14828622970535177,0.9395565375207133,0.06044346247928667,0.8517137702946482,15.223214285714286,0.24353150306142604,0.18433248617132605
dataset\turnpike_0_5fps\input\in001016.jpg,dataset\turnpike_0_5fps\groundtruth\gt001016.png,1125,60746,3938,5871,0.16080617495711835,0.9391194112918186,0.06088058870818131,0.8391938250428816,13.684430803571429,0.22220027651589966,0.18658263537606765
dataset\turnpike_0_5fps\input\in001017.jpg,dataset\turnpike_0_5fps\groundtruth\gt001017.png,942,62879,4121,3738,0.2012820512820513,0.9384925373134329,0.06150746268656716,0.7987179487179488,10.964006696428571,0.18605569820264664,0.19336959868623627
dataset\turnpike_0_5fps\input\in001018.jpg,dataset\turnpike_0_5fps\groundtruth\gt001018.png,719,60313,4344,6304,0.10237790118183113,0.9328146991045053,0.06718530089549468,0.8976220988181689,14.854910714285714,0.14201066561327277,0.11898063875558498
dataset\turnpike_0_5fps\input\in001019.jpg,dataset\turnpike_0_5fps\groundtruth\gt001019.png,1733,61480,3330,5137,0.25225618631732166,0.9486190402715631,0.05138095972843697,0.7477438136826783,11.812220982142858,0.34228718151293697,0.2904550406435934
dataset\turnpike_0_5fps\input\in001020.jpg,dataset\turnpike_0_5fps\groundtruth\gt001020.png,1314,64525,3749,2092,0.3857897827363476,0.9450889064651258,0.05491109353487418,0.6142102172636523,8.148716517857142,0.2595299229705708,0.3103081827842721
dataset\turnpike_0_5fps\input\in001021.jpg,dataset\turnpike_0_5fps\groundtruth\gt001021.png,1061,61365,4002,5252,0.16806589577063202,0.9387764468309697,0.06122355316903024,0.831934104229368,12.91015625,0.20955954967410625,0.18653305203938111
dataset\turnpike_0_5fps\input\in001022.jpg,dataset\turnpike_0_5fps\groundtruth\gt001022.png,624,60591,4439,6026,0.09383458646616541,0.9317391972935568,0.06826080270644318,0.9061654135338346,14.599609375,0.12324708670748569,0.10654827968923418
dataset\turnpike_0_5fps\input\in001023.jpg,dataset\turnpike_0_5fps\groundtruth\gt001023.png,515,59241,4548,7376,0.0652642250665315,0.9287024408597093,0.07129755914029065,0.9347357749334685,16.635044642857142,0.10171834880505629,0.07951211980855336
dataset\turnpike_0_5fps\input\in001024.jpg,dataset\turnpike_0_5fps\groundtruth\gt001024.png,305,60645,4758,5972,0.04859009080771069,0.9272510435301133,0.0727489564698867,0.9514099091922893,14.969308035714286,0.060240963855421686,0.05379188712522046
dataset\turnpike_0_5fps\input\in001025.jpg,dataset\turnpike_0_5fps\groundtruth\gt001025.png,334,59244,4729,7373,0.0433372258985338,0.926078189236084,0.07392181076391603,0.9566627741014662,16.883370535714285,0.06596879320560932,0.05231010180109632
dataset\turnpike_0_5fps\input\in001026.jpg,dataset\turnpike_0_5fps\groundtruth\gt001026.png,1439,53255,3624,13362,0.09722316059725694,0.9362857996800225,0.0637142003199775,0.902776839402743,23.696986607142858,0.28421884258344854,0.14488521949254934
